Name,Price,Rating,Number of Ratings,Photo URL
"Vipcase Charger Dock for Fitbit Sense/Sense 2/Versa 4/Versa 3,Upgraded Magnetic Watch Charger Stand with Charging Cable,Charger Replacement Accessories for Fitbit Charger,Black",18.99,4.8 out of 5 stars,11,https://m.media-amazon.com/images/I/61bgko1mLmL._AC_UL320_.jpg
"Screen Protector Compatible with 2022 2023 Civic, HD Tempered Glass Anti Scratch, EVTGFILM, 9 inch Multimedia Display",28.99,Rating unavailable,Number of ratings unavailable,https://m.media-amazon.com/images/I/61ZEjUa7OWL._AC_UL320_.jpg
"Gifts for Gamers and Music Lovers, Light Up Headphone Stand, Walnut Wood Headset Holder with Blue Pink LED Night Light, Ideal Desk Accessory",39.95,Rating unavailable,Number of ratings unavailable,https://m.media-amazon.com/images/I/71ItVOyBhpL._AC_UL320_.jpg
Tune 510BT: Wireless On-Ear Headphones with Purebass Sound - Black,Price not available,4.6 out of 5 stars,"46,595",https://m.media-amazon.com/images/I/61ZDwijKtxL._AC_UL320_.jpg
"Bose NEW QuietComfort Wireless Noise Cancelling Headphones, Bluetooth Over Ear Headphones with Up To 24 Hours of Battery Life, Black",249.00,4.4 out of 5 stars,508,https://m.media-amazon.com/images/I/51QeS0jkx-L._AC_UL320_.jpg
"Skylight Digital Picture Frame: WiFi Enabled with Load from Phone Capability, Touch Screen Digital Photo Frame Display - Customizable Gift for Friends and Family - 10 Inch Black",159.99,4.7 out of 5 stars,"20,085",https://m.media-amazon.com/images/I/71VfNVFhptL._AC_UL320_.jpg
"Sony WH-1000XM4 Wireless Premium Noise Canceling Overhead Headphones with Mic for Phone-Call and Alexa Voice Control, Black WH1000XM4",228.00,4.6 out of 5 stars,"53,730",https://m.media-amazon.com/images/I/51SKmu2G9FL._AC_UL320_.jpg
"Sony WH-CH720N Noise Canceling Wireless Headphones Bluetooth Over The Ear Headset with Microphone and Alexa Built-in, Black New",Price not available,4.4 out of 5 stars,"2,948",https://m.media-amazon.com/images/I/51rpbVmi9XL._AC_UL320_.jpg
Cell Phone Stand with Wireless Bluetooth Speaker and Anti-Slip Base HD Surround Sound Perfect for Home and Outdoors with Bluetooth Speaker for Desk Compatible with iPhone/ipad/Samsung Galaxy,28.99,4.5 out of 5 stars,"7,997",https://m.media-amazon.com/images/I/71cjRhnTVtL._AC_UL320_.jpg
"3 in 1 Charging Station for iPhone, Wireless Charger for iPhone 15 14 13 12 11 X Pro Max & Apple Watch - Charging Stand Dock for AirPods 3/2/1/Pro",29.99,4.3 out of 5 stars,"9,545",https://m.media-amazon.com/images/I/61Kf+coz5uL._AC_UL320_.jpg
